r  /  Angstrom,Cd Cd,Cd Se,Cd O,Se Se,Se O,O O
5.8500000000000005,0.27090525801158605,0.08211302236510543,0.6050936602884737,0.09480880007728104,0.24121373782184707,0.4861691624080616
5.9,0.2889523920119665,0.059746354840813656,0.6563047195219754,0.13057392936684084,0.20670342542074455,0.47503095387403155
5.95,0.3125300863022929,0.0562997636491012,0.7159092544638939,0.16539797484777116,0.16553395595356785,0.472339231364075
6.0,0.3478767562529358,0.04892787218830157,0.7567939413831555,0.24932545900796496,0.14332884119227612,0.43952370053909373
6.050000000000001,0.34118649804730733,0.060116133129206155,0.7836130896911127,0.33692808076207176,0.12311230705441473,0.39023445884962255
6.1000000000000005,0.347064641035478,0.08563299014568578,0.7667108561382174,0.39899679656993176,0.08655728956285832,0.33371620987403117
6.15,0.344368517484106,0.11733756905019284,0.7543636730030249,0.4467850766725096,0.08221420653784331,0.30473231757207253
6.2,0.3211234139529421,0.1564021026570395,0.7098941186225193,0.5306753056004148,0.0900870629924954,0.26189521649711606
6.25,0.28749015941186207,0.20587950977096378,0.6509759716393774,0.5589063725421534,0.08808190818041456,0.258367116942765
6.300000000000001,0.291819400237597,0.2708412856613769,0.5828095877054044,0.6296237592823484,0.09897186581177785,0.23628664249985507
6.3500000000000005,0.27458179984457753,0.3606240292885681,0.5369727431069632,0.6163979729833189,0.12311066256289387,0.21934870238033746
6.4,0.2391396012650464,0.45663637522400874,0.44950325967933785,0.6072066264775368,0.14204076509853902,0.21206868183963612
6.45,0.23880506208392518,0.5448596432552706,0.38181155797469846,0.5735009455326634,0.1773233515771823,0.2059678299026115
6.5,0.20627471211112505,0.5919777372953907,0.3207338882930536,0.4990851453882147,0.21311479587529916,0.19830055829025112
6.550000000000001,0.19541404938117835,0.6558795091106048,0.2649052728631799,0.43978878411916617,0.23956376706111632,0.19441186133573982
6.6000000000000005,0.1884287479179159,0.7077743132062071,0.20451959213712373,0.3527706267939834,0.2975351935631309,0.20368695998534733
6.65,0.20582295314975327,0.7122192964004392,0.16768815395601278,0.29388060703019586,0.3428333919151453,0.202586311216536
6.7,0.21965365948087437,0.6855870331112217,0.15198003935496301,0.22440436223954996,0.4172087379528809,0.21853408021903323
6.75,0.23628876023854478,0.6526938070533584,0.13350274612643445,0.15981039527816965,0.47889087910835054,0.22910424138345054
6.800000000000001,0.2879125063313869,0.6035611684615613,0.13272186966123084,0.10976898327078566,0.523215495669751,0.22314981831517855
6.8500000000000005,0.3010936353901042,0.5762133788538654,0.12962945181668203,0.08266585049941941,0.5727565041959215,0.21473344077972675
6.9,0.36111459168438254,0.532208093643155,0.12537940328799438,0.06223849433619145,0.6114097382829764,0.2191610343540313
6.95,0.4260070723291807,0.49267949628410906,0.12014323704685782,0.046661621423225226,0.6267480433600525,0.2183452943827306
7.0,0.4892815945833078,0.41757426323411295,0.12233759574119403,0.04038892999279061,0.6634487223916351,0.2196783622704724
7.050000000000001,0.5501972923515205,0.38709182968695266,0.12917364820005706,0.05391969916054358,0.663853417105572,0.2244297711661934
7.1000000000000005,0.6233042042158249,0.34095594810055674,0.1472935200863822,0.07557384568801163,0.6584733495922809,0.23715273500202413
7.15,0.6803049759222731,0.32146610195647435,0.15413361999533123,0.12302976695929674,0.6446520883150497,0.25079485093261905
7.2,0.7184983689114878,0.28630106306163533,0.1672355394805441,0.18276343828845606,0.6003829608175201,0.24847345495659376
7.25,0.7371478408533735,0.2563276426199427,0.17744081585768273,0.24308268459649224,0.5769207135881748,0.24160157342719946
7.300000000000001,0.7450957918904589,0.22015089700537904,0.17786646688492191,0.3374195374914677,0.5253163413979821,0.26333739817123303
7.3500000000000005,0.7401197970023253,0.21399805711108044,0.1831263860935074,0.44768705879005666,0.4920053299565671,0.28196390793432513
7.4,0.746319851789082,0.20676363016744131,0.1947687157403026,0.5432093216817276,0.45962474502003947,0.28653921081508926
7.45,0.7287831725438826,0.20945229578929564,0.21002793874902717,0.6634287747435581,0.43281974460646494,0.28292796620761756
7.5,0.6917726790251638,0.22269002898123078,0.20552446483871392,0.8176668370401782,0.39970010786841037,0.2756311163276871
7.550000000000001,0.6474973634849043,0.2362954562986999,0.21528509681690045,0.9223951745787017,0.3757982378442924,0.29587324234601076
7.6000000000000005,0.600565276299505,0.2618463746109569,0.21246109671574936,1.053583451523462,0.3585415933379045,0.308151515658483
7.65,0.5564598775836238,0.2855572996715089,0.21868779450900674,1.066663416723423,0.33748257150572464,0.32425850985332594
7.7,0.5175991902092136,0.3084870956442744,0.2300210916953522,1.0905948416669302,0.32387354284044595,0.33263411324707104
7.75,0.47248595979092534,0.32443451985442695,0.25194027054807194,1.0944587794850056,0.32895951886878744,0.3388046391399749
7.800000000000001,0.42738514822678636,0.3593209576297022,0.253219002814657,1.0366759658792595,0.3207012786327318,0.32763673274362226
7.8500000000000005,0.4053830741275881,0.37632890729667473,0.27162725403851945,0.9844223461526098,0.33704701744302407,0.3305620668896902
7.9,0.37155615568214745,0.40101670916499277,0.2863171450549203,0.8909918658819452,0.3480866815826102,0.34282916810732883
7.95,0.3394090053107158,0.42566675895741607,0.3080618841443411,0.8061512314125303,0.364296838328759,0.33017442615757736
8.0,0.3264482012017004,0.44268711397008376,0.33541105509881874,0.7200370543150794,0.3840415921761743,0.3269507154562094
