phi  /  Degrees,Si Si Si,Si Si O,Si O Si,Si O O,O Si O,O O O
44,0.1168278369080381,1.5514776864108402,0.0,1.834169826189122,0.0,0.11227760070844621
45,0.35048351072411454,0.0,0.0,0.0,0.0,0.0796556316369656
46,0.0,3.249981585882819,0.0,1.8921189413738615,1.9270176053866708,0.0
47,0.0,0.0,0.0,0.023555448257890427,0.0,1.714861223495944
48,0.0,0.0,18.247388549259682,0.0,0.6423469411230445,0.0
49,0.0,3.9554314975962375,0.0,1.5616153237371915,0.0,1.4839943494451422
50,1.681237665725564,0.0,0.44988202706503405,0.0706702994777779,0.20402517280165086,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.8997640541300705,0.04711287386783418,0.40805034560330267,0.0
53,0.0,0.32852890246921246,0.0,0.38835688714328,0.0,0.18607311786349068
54,0.3115408984214351,0.07351310202013797,0.0,0.028969426221008655,3.854035210773324,1.3018443772401425
55,0.0,1.9794419225558406,0.0,0.19419590223008498,0.40805034560330267,0.09421357656786135
56,0.0,0.0,0.0,0.0,0.0,0.047106788283930716
57,0.0,0.0,2.8308945950627242,0.27834011714393864,1.283988558285637,0.0
58,4.483301238554326,1.0579072699823076,0.0,0.0,0.0,1.3898197368075698
59,2.79174281833707,0.03675655101006898,0.0,0.014484713110504322,0.0,18.311265716896628
60,8.378261087508603,0.0,0.0,0.0,0.0,10.978983958602662
61,0.0,4.16086249327659,0.0,6.502652566724638,0.0,0.0
62,0.0,0.3285289175389783,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.13536739072827464,0.0,1.2504819335930926
64,3.362475928915745,0.0,4.249135411070948,1.6679679100254665,2.729421182560468,0.0
65,0.0,0.0,0.44988202706503405,2.2417729558015824,0.0,0.13400384097880225
66,0.0,0.0,0.44988202706503405,0.0,0.0,0.0
67,0.0,0.0,0.0,0.0,0.0,0.04710678828393071
68,0.0,0.0,1.4152404645385532,0.9282097027484018,0.0,0.0
69,0.0,0.0,0.0,0.19419585284125448,0.3059828100310171,0.0
70,0.0,0.0,0.0,0.0,0.0,2.778807659938226
71,0.0,3.9554314975962375,0.0,12.61716673942494,0.0,0.01448284211581191
72,0.15577044921071745,3.102955381842542,3.5398064759616212,0.04711287386783418,1.7083097009630377,0.27793272130780455
73,0.0,0.0,0.7093289351093278,0.0,0.3206655416530006,7.878110882915823
74,0.0,0.0,0.0,0.023555448257890427,3.854035210773324,0.01448284211581191
75,0.0,0.0,0.0,0.0,0.0,0.0
76,0.0,3.176468488373112,0.0,3.6973393567592163,0.1020675355722851,0.0
77,0.0,0.0,0.0,0.02355742560994374,0.30598281003101707,1.7626308546701104
78,0.0,1.7511253788127144,4.249135411070949,0.19423074546372962,0.6418549175645722,0.0
79,0.0,0.0,0.0,10.558220662898144,0.0,0.1884271531357229
80,0.0,0.07351310202013797,18.238605713678194,0.028969426221008655,8.271815287523575,4.219614836130063
81,0.0,0.3012333685056459,0.0,0.014484713110504326,0.0,0.0
82,0.0,0.16417597757096142,0.0,0.8623065292989774,0.0,0.555904406545897
83,0.0,0.0,0.44988202706503405,0.27796862659782007,0.0,0.047106788283930716
84,0.0,0.0,0.0,0.20013224048283773,0.0,0.2776393438815036
85,0.0,0.0,0.0,0.02355742560994374,0.0,0.047106788283930716
86,0.0,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0,0.0
89,8.457691815740143,4.285001275801339,0.0,1.1051075182674366,0.0,7.206754551457209
90,15.047338505092235,3.954390636930114,0.0,2.147587047564065,0.0,8.557227904857807
